Wavelength,Well,Absorbance,Plate,Peptide,Sensor,Wine,Replicate
350,A1,0.2467,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
352,A1,0.2454,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
354,A1,0.2444,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
356,A1,0.243,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
358,A1,0.2414,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
360,A1,0.2394,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
362,A1,0.2373,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
364,A1,0.2354,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
366,A1,0.2317,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
368,A1,0.2275,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
370,A1,0.2233,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
372,A1,0.219,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
374,A1,0.2168,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
376,A1,0.2163,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
378,A1,0.217,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
380,A1,0.2185,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
382,A1,0.221,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
384,A1,0.224,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
386,A1,0.2275,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
388,A1,0.2316,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
390,A1,0.236,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
392,A1,0.2409,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
394,A1,0.2455,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
396,A1,0.2511,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
398,A1,0.2567,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
400,A1,0.263,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
402,A1,0.2691,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
404,A1,0.2755,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
406,A1,0.2817,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
408,A1,0.2884,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
410,A1,0.2952,W1_2_P1_7,1.0,Cu-PCV-P1,HEPES,
